Timestamp,Gender,Boarding,Grade,Athlete,Activities,DHBreakfast,NDHBreakfast,DHBoxes,NDHBoxes,NDHMeals,Nutrition,Money,BClass
133,1,1,0,1.0986122886681098,2,2,0,1,1.0986122886681098,1,1,20.0,0
155,1,1,1,1.0986122886681098,0,0,1,1,1.0986122886681098,1,1,39.5,1
59,1,0,1,1.0986122886681098,0,2,0,1,1.3862943611198906,8,2,20.0,1
117,1,1,0,1.0986122886681098,1,0,1,1,0.6931471805599453,0,0,10.0,1
134,0,0,2,1.0986122886681098,0,1,0,0,0.6931471805599453,0,1,20.0,1
76,0,1,3,1.0986122886681098,0,0,1,0,0.6931471805599453,0,1,15.0,0
34,0,1,1,1.0986122886681098,2,0,0,0,0.6931471805599453,3,0,12.5,1
97,0,0,0,0.6931471805599453,2,2,1,0,1.0986122886681098,2,1,20.0,0
10,1,1,3,1.0986122886681098,1,0,1,0,0.6931471805599453,0,1,25.0,0
105,1,0,1,1.0986122886681098,0,2,0,1,1.3862943611198906,10,1,5.0,0
164,0,1,3,1.0986122886681098,2,0,0,0,0.6931471805599453,2,0,0.0,1
28,1,0,2,1.0986122886681098,0,2,0,0,0.6931471805599453,6,1,10.0,1
137,3,1,3,1.0986122886681098,2,1,0,0,0.6931471805599453,5,0,15.0,1
142,1,1,1,0.6931471805599453,1,0,0,1,1.0986122886681098,0,0,15.0,0
50,1,0,2,1.0986122886681098,0,2,1,1,1.3862943611198906,10,2,15.0,0
38,0,0,0,1.0986122886681098,0,0,0,0,0.6931471805599453,4,1,15.0,1
98,0,1,3,1.0986122886681098,2,0,1,0,0.6931471805599453,0,1,3.0,0
161,1,1,3,0.6931471805599453,0,0,0,0,0.6931471805599453,0,0,1.0,0
158,1,0,2,1.0986122886681098,2,2,0,1,1.3862943611198906,9,1,10.0,0
119,1,0,0,1.0986122886681098,2,1,0,0,0.6931471805599453,0,0,5.0,1
49,0,0,1,1.0986122886681098,2,2,0,0,0.6931471805599453,3,0,17.5,0
88,0,1,1,0.6931471805599453,0,0,0,0,1.0986122886681098,2,1,15.0,1
67,0,0,2,1.0986122886681098,2,1,0,0,0.6931471805599453,4,0,39.5,1
103,1,0,1,1.0986122886681098,2,2,0,1,1.3862943611198906,0,0,25.0,1
138,0,0,3,1.0986122886681098,2,1,0,0,1.0986122886681098,2,0,7.0,1
52,0,1,3,1.0986122886681098,0,0,1,0,0.6931471805599453,0,1,12.0,0
130,1,0,0,1.0986122886681098,1,2,0,1,1.3862943611198906,1,2,15.0,1
74,1,0,0,1.0986122886681098,2,2,0,1,0.6931471805599453,1,2,2.0,0
124,1,0,0,1.0986122886681098,2,1,0,0,1.0986122886681098,4,0,39.5,1
152,1,0,1,1.0986122886681098,2,0,0,0,1.0986122886681098,4,1,20.0,1
22,1,1,2,1.0986122886681098,2,0,1,1,0.6931471805599453,0,2,30.0,0
64,1,0,3,1.0986122886681098,0,1,1,1,0.6931471805599453,4,1,15.0,1
5,1,0,1,1.0986122886681098,2,2,0,0,1.0986122886681098,2,0,15.0,1
71,1,1,1,1.0986122886681098,1,0,1,1,0.6931471805599453,0,1,2.0,0
101,0,1,1,0.6931471805599453,0,0,0,0,0.6931471805599453,1,0,15.0,0
99,1,0,1,0.6931471805599453,0,0,0,0,1.0986122886681098,5,1,15.0,1
128,1,0,1,1.0986122886681098,0,2,1,0,0.6931471805599453,3,2,15.0,0
7,0,1,1,1.0986122886681098,0,0,1,0,0.6931471805599453,0,0,15.0,0
78,0,1,0,0.6931471805599453,1,1,1,0,0.6931471805599453,0,0,2.0,1
108,1,1,0,1.0986122886681098,0,0,0,1,0.6931471805599453,0,0,39.5,1
24,0,0,0,1.0986122886681098,0,1,0,0,1.0986122886681098,2,1,3.0,1
18,1,0,1,0.6931471805599453,0,2,0,0,1.0986122886681098,1,1,15.0,1
159,1,0,2,0.6931471805599453,1,1,0,0,1.0986122886681098,5,0,25.0,1
135,1,0,0,1.0986122886681098,0,1,0,1,1.0986122886681098,8,1,30.0,1
100,1,0,0,1.0986122886681098,0,2,0,1,0.6931471805599453,1,1,5.0,1
141,1,0,0,1.0986122886681098,0,2,1,1,0.6931471805599453,6,2,25.0,0
80,0,0,0,0.6931471805599453,0,1,0,0,0.6931471805599453,5,0,20.0,1
113,0,0,0,0.6931471805599453,1,0,0,0,0.6931471805599453,6,0,7.0,0
14,1,0,0,1.0986122886681098,0,1,0,0,1.0986122886681098,3,1,10.0,1
